scenario_nr	par_space	w_corr	N	nC	I	missing	method	Tissues	PD	LCI	UCI	parspace	shared
1	null	0	100	8	1000	Complete data	FastGxC	global_eQTL	0.051	0.0373646501525346	0.0646353498474654	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	0.098	0.0795725858050003	0.116427414195	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	global	0.049	0.0356206076526052	0.0623793923473948	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T1	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T2	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T3	0.007	0.00183260411206526	0.0121673958879347	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T4	0.015	0.00746623904840646	0.0225337609515935	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T5	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T6	0.001	0	0.00295898375742971	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T7	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T8	0.005	0.000628357558885532	0.00937164244111447	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T1_nominal	0.057	0.0426305096446976	0.0713694903553025	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T2_nominal	0.045	0.0321513933510544	0.0578486066489456	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T3_nominal	0.062	0.0470532987192395	0.0769467012807605	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T4_nominal	0.069	0.0532910384435326	0.0847089615564674	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T5_nominal	0.055	0.0408698965960763	0.0691301034039237	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T6_nominal	0.035	0.023609421802694	0.0463905781973061	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T7_nominal	0.043	0.0304270181766462	0.0555729818233538	No Heterogeneity	No shared
1	null	0	100	8	1000	Complete data	FastGxC	p.value_T8_nominal	0.043	0.0304270181766462	0.0555729818233538	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	global_eQTL	0.049	0.0356206076526052	0.0623793923473948	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	0.111	0.0915302461503162	0.130469753849684	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	global	0.055	0.0408698965960763	0.0691301034039237	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T1	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T2	0.009	0.00314662736349625	0.0148533726365038	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T3	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T4	0.012	0.00525134563204267	0.0187486543679573	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T5	0.005	0.000628357558885532	0.00937164244111447	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T6	0.01	0.0038331172927587	0.0161668827072413	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T7	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T8	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T1_nominal	0.056	0.0417495656523328	0.0702504343476672	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T2_nominal	0.055	0.0408698965960763	0.0691301034039237	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T3_nominal	0.051	0.0373646501525346	0.0646353498474654	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T4_nominal	0.052	0.0382388752630849	0.0657611247369151	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T5_nominal	0.052	0.0382388752630849	0.0657611247369151	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T6_nominal	0.042	0.0295675852261337	0.0544324147738663	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T7_nominal	0.038	0.0261497523802541	0.049850247619746	No Heterogeneity	No shared
2	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T8_nominal	0.046	0.0330162186213977	0.0589837813786023	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	global_eQTL	0.049	0.0356206076526052	0.0623793923473948	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	0.107	0.0878413144559408	0.126158685544059	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	global	0.048	0.0347508754149401	0.0612491245850599	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T1	0.007	0.00183260411206526	0.0121673958879347	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T2	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T3	0.01	0.0038331172927587	0.0161668827072413	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T4	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T5	0.009	0.00314662736349625	0.0148533726365038	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T6	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T7	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T8	0.01	0.0038331172927587	0.0161668827072413	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T1_nominal	0.049	0.0356206076526052	0.0623793923473948	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T2_nominal	0.043	0.0304270181766462	0.0555729818233538	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T3_nominal	0.041	0.0287100724424075	0.0532899275575925	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T4_nominal	0.044	0.0312883075936492	0.0567116924063508	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T5_nominal	0.047	0.0338827296270257	0.0601172703729744	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T6_nominal	0.048	0.0347508754149401	0.0612491245850599	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T7_nominal	0.041	0.0287100724424075	0.0532899275575925	No Heterogeneity	No shared
3	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T8_nominal	0.054	0.0399915353305104	0.0680084646694896	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	global_eQTL	0.057	0.0426305096446976	0.0713694903553025	No Heterogeneity	No shared
